settlement_id,txn_id,settled_amount,settlement_date,status,fee
S001,T001,100.00,01/15/2026,completed,0.20
S002,T002,200.50,01/15/2026,completed,0.40
S003,T003,500.00,01/15/2026,completed,1.00
S004,T004,75.25,01/15/2026,completed,0.15
S005,T005,999.50,01/16/2026,completed,2.00
S006,T006,250.00,01/16/2026,completed,0.50
S008,T008,3000.00,01/16/2026,completed,6.00
S009,T009,150.75,01/17/2026,completed,0.30
S010,T010,80.00,01/17/2026,completed,0.16
S011,T011,1200.00,01/17/2026,completed,2.40
S012,T012,45.99,01/17/2026,completed,0.09
S013,T013,600.00,01/17/2026,completed,1.20
S014,T014,100.00,01/18/2026,completed,0.20
S015,T015,2500.00,01/18/2026,completed,5.00
S016,T016,175.50,01/18/2026,completed,0.35
S017,T017,800.00,01/18/2026,completed,1.60
S019,T019,4500.00,01/19/2026,completed,9.00
S020,T020,100.00,01/19/2026,completed,0.20
S099,T999,350.00,01/20/2026,completed,0.70
