txn_id,account_id,amount,currency,timestamp,description
T001,A10,100.00,USD,2026-01-15T09:30:00Z,Office supplies
T002,A11,200.50,USD,2026-01-15T10:15:00Z,"Printer, scanner combo"
T003,A10,500.00,EUR,2026-01-15T11:00:00Z,Software license
T004,A12,75.25,USD,2026-01-15T13:00:00Z,Lunch meeting
T005,A10,1000.00,USD,2026-01-16T09:00:00Z,Server hosting
T006,A13,250.00,EUR,2026-01-16T10:00:00Z,"Training, certification"
T007,A11,50.00,USD,2026-01-16T11:00:00Z,Domain renewal
T008,A14,3000.00,USD,2026-01-16T14:00:00Z,Contractor payment
T009,A10,150.75,USD,2026-01-17T08:00:00Z,Cloud storage
T010,A12,80.00,USD,2026-01-17T09:00:00Z,Team lunch
T011,A13,1200.00,EUR,2026-01-17T10:00:00Z,Conference registration
T012,A11,45.99,USD,2026-01-17T11:00:00Z,USB adapters
T013,A14,600.00,USD,2026-01-17T14:00:00Z,Legal consultation
T014,A10,100.00,USD,2026-01-18T08:00:00Z,Office supplies
T015,A12,2500.00,USD,2026-01-18T10:00:00Z,Equipment purchase
T016,A13,175.50,USD,2026-01-18T11:00:00Z,Courier service
T017,A11,800.00,EUR,2026-01-18T14:00:00Z,Translation services
T018,A14,35.00,USD,2026-01-19T09:00:00Z,Parking fees
T019,A10,4500.00,USD,2026-01-19T10:00:00Z,Annual subscription
T020,A12,100.00,USD,2026-01-19T11:00:00Z,Office supplies
